Country,Protest Name,Start Date,Freedom Rating (Status),Triggers,Motivations,Peak Size,Key Participants,Duration,Outcomes,Active protests,Economic motivation?,Political motivation?,Corruption motivation?,Gender motivation?,Size category,Protests with a significant outcome,"Large protests (Over 100,000 protesting)",Violent government response,Long protests (more than 3 months),Coronavirus-related protests,Capital city
Ghana,Stop Galamsey protest,24-Sep,Free,Continued illegal mining (also known as galamsey) in Ghana.,"Protest against the government's poor handling of galamsey, which has caused significant environmental harm in Ghana. Also protest economic hardships.",>100,"Activist groups (Democracy Hub, FixTheCountry), Catholic parishioners",1 month,"No policy/leadership change. As of September 25, the Ghanaian police had arrested over forty protesters, including the leader of Democracy Hub, Oliver Barker-Vormawor. During a demonstration on October 11, protesters handed a petition for a ban on informal mining to the president's office.",,X,,,,Hundreds,,,,,,Accra
Ghana,Voter register irregularity protest,24-Sept,Free,"The main opposition party, the National Democratic Congress (NDC), accused the electoral commission of tampering with the voter register by illegally transferring voters to different stations, removing the names of eligible voters, and including the names of deceased voters.",Call for a forensic audit of the voter register. Demand free and fair elections for upcoming presidential and parliamentary contests in December 2024.,">100,000","Opposition, general public",1 day,No policy/leadership change. The election commission denied the allegations and stated that it had corrected all previously identified errors in the voter register.,,,X,X,,Hundreds of thousands,,,,,,Accra
Bolivia,March against President Luis Arce,24-Sept,Partly Free,"Arce accused former president Evo Morales of attempting to overthrow his government in a coup. In response, Morales called for his supporters to march against Arce.",Criticize Arce's government for its failure to fix Bolivia's economic crisis. Call for Arce's resignation. Show support for Morales.,">1,000",Supporters of Morales,2 days,"No policy/leadership change. On September 24, Morales made a twenty-four-hour ultimatum to reshuffle the cabinet, which the government rejected.",,X,X,,,Thousands,,,,,,La Paz
Poland,“Stop Patowładzy” protest,24-Sept,Free,"Growing rifts between the current government and the nationalist-conservative opposition party, Law and Justice (PiS).","Assert that Prime Minister Donald Tusk’s government is violating the rule of law. Allege that the government is ""representing foreign interests"" and not acting in the interests of the Polish people.",">1,000",PiS party and supporters,1 day,No policy/leadership change.,,,X,,,Thousands,,,,,,Warsaw
India,Protest against ethnic violence,24-Sept,Partly Free,"Reignited ethnic violence between Hindu Meiteis and Christian Kukis in Manipur, India. Armed groups launched drone attacks that killed several civilians.",Call for the government to take action and end the ethnic conflict.,>100,Students,2 days; active since November 2024,"On September 11, authorities imposed a curfew and shut down internet services in certain areas of Manipur. They restored the internet on September 16 and partially relaxed the curfew. Amit Shah, the minister for home affairs, announced that the government is holding peace talks with the Meitei and Kuki communities.",X,,,,,Hundreds,,,,,,New Delhi
Afghanistan,Women's rights protest,24-Sept,Not Free,Growing repression of women's rights under Taliban rule.,Demand equal rights for men and women. Call on the international community to denounce the Taliban.,>10,Afghan Women's History Transformation Movement,1 day (30 minutes),No policy/leadership change.,,,X,,X,Tens,,,,,,Kabul
Australia,Farmers' protest,24-Sept,Free,"Australian government adopted new farming and environmental policies, including a ban on exports of live sheep, water usage restrictions, and construction of renewable power sources in rural areas.","Anger over the new policies, which many farmers argue are hurting them. Protesters also feel that the government is ignoring the demands of farmers and prioritizing the demands of activists instead.",>100,"Farmers, National Farmers' Federation (NFF)",1 day,"On September 23, Tony Mahar, the CEO of the NFF, was appointed as the new Australian energy infrastructure commissioner. No policy changes have been made.",,X,,,,Hundreds,,,,,,Canberra
Taiwan,Little Sprouts protest,24-Sept,Free,"Ko Wen-je, the former mayor of Taipei, was re-arrested as part of an ongoing investigation over allegations of corruption. His political party, the Taiwan People's Party (TPP), called for a rally in support of Ko.",Demand Ko's release. Protesters proclaim Ko's innocence and believe that President Lai Ching-te's administration is prosecuting Ko for political reasons.,">10,000","TPP supporters (called ""Little Sprouts"")",2 days,No policy/leadership change.,,,X,,,Tens of thousands,,,,,,Taipei
Brazil,Protest against ban on X,24-Sept,Free,Brazil's nationwide ban on X. Former president Jair Bolsonaro called for a protest in response.,Protest the ban on X. Claim that the ban is an example of the government oppressing the right. Push for freedom of speech.,">1,000",Supporters of Bolsonaro,1 day,"No policy/leadership change.  On October 8, the Supreme Court authorized the restoration of X in Brazil after the platform complied with the court's demands.",,,X,,,Thousands,,,,,,Brasília
France,Protest against the appointment of Michel Barnier,24-Sept,Free,"President Emmanuel Macron appointed Barnier, a center-right politician, as the new prime minister of France.","Anger over Barnier's appointment. Protesters feel that Macron ignored the recent election results and ""stole"" the election by appointing a conservative prime minister.",">10,000","Opposition, general public",1 day,No policy/leadership change.,,,X,,,Tens of thousands,,,,,,Paris
Botswana,Protest against executive powers bill,24-Sept,Free,Parliament voted on a constitutional amendment that would allow the president to appoint key civil servants.,"Protest the passage of the amendment, which protesters argue will grant the president too much power.",">1,000","Opposition, civil society groups",1 day,Opposition legislators walked out of Parliament in protest. The amendment failed to pass through Parliament as it did not receive enough votes.,,,X,,,Thousands,X,,,,,Gaborone
Colombia,Trucker road blockades,24-Aug,Free,"In an effort to phase out fuel subsidies, the government raised diesel prices by fifty cents per gallon.","Protest fuel price increase, which truckers argue would be a severe economic burden.",>100,Truckers,6 days,"On September 6, the government came to an agreement with truckers' unions to gradually implement a lower increase in fuel prices by the end of the year.",,X,,,,Hundreds,X,,,,,Bogotá
Argentina,Pension protest,24-Aug,Free,President Javier Milei announced his plan to veto a bill that would increase pensions in line with the inflation rate.,"Anger over Milei's decision, especially amid the severe economic struggles that citizens are facing as a result of Milei's austerity laws.",">1,000",Pensioners,2 weeks,No policy/leadership change. Congress upheld Milei's veto.,,X,,,,Thousands,,,,,,Buenos Aires
Pakistan,Protest against e-transfer policy,24-Aug,Partly Free,"The Higher Education Department (HED) announced an e-transfer policy on August 6, 2024. According to the HED, the goal of this policy is to create transparency during the HED's efforts to transfer professors to understaffed schools in remote regions.","Criticize the new transfer system, the relocation of assistant professors, and the filling of vacant teaching positions. Arguing that promotions should be within the same school and separated from the e-transfers. Also protest how poorly the HED handled various issues reported by professors.",">1,000",College professors and lecturers,1 week,No policy/leadership change. The HED and Punjab Professors and Lecturers Association (PPLA) formed a six-person committee to address the dislocation of assistant professors.,,,,,,Thousands,,,,,,Islamabad
